Value,Type
193.3.19.198,IP
90.188.58.92,IP
109.237.103.38,IP
45.67.59.216,IP
94.232.41.215,IP
64.72.66.222,IP
144.91.85.29,IP
212.113.50.179,IP
185.212.170.250,IP
185.82.219.69,IP
45.79.142.211,IP
169.56.94.134,IP
204.13.201.137,IP
103.102.220.50,IP
177.190.76.82,IP
96.9.69.207,IP
96.9.77.142,IP
103.9.188.78,IP
136.228.128.21,IP
54.36.148.0,IP
54.36.148.1,IP
54.36.148.2,IP
54.36.148.3,IP
54.36.148.4,IP
54.36.148.5,IP
54.36.148.7,IP
54.36.148.9,IP
54.36.148.12,IP
54.36.148.13,IP
54.36.148.16,IP
54.36.148.17,IP
54.36.148.18,IP
54.36.148.19,IP
54.36.148.20,IP
54.36.148.21,IP
54.36.148.22,IP
54.36.148.23,IP
54.36.148.64,IP
54.36.148.67,IP
54.36.148.71,IP
54.36.148.72,IP
54.36.148.76,IP
58.97.72.83,IP
5.9.144.234,IP
54.36.148.83,IP
54.36.148.85,IP
54.36.148.87,IP
54.36.148.89,IP
54.36.148.90,IP
54.36.148.91,IP
54.36.148.93,IP
54.36.148.95,IP
54.36.148.96,IP
54.36.148.97,IP
54.36.148.98,IP
54.36.148.99,IP
54.36.148.100,IP
54.36.148.102,IP
54.36.148.104,IP
54.36.148.106,IP
54.36.148.107,IP
54.36.148.109,IP
54.36.148.110,IP
54.36.148.111,IP
54.36.148.112,IP
54.36.148.113,IP
54.36.148.116,IP
54.36.148.117,IP
54.36.148.120,IP
54.36.148.121,IP
54.36.148.122,IP
54.36.148.123,IP
54.36.148.124,IP
54.36.148.125,IP
54.36.148.128,IP
54.36.148.133,IP
54.36.148.134,IP
54.36.148.190,IP
54.36.148.192,IP
54.36.148.193,IP
54.36.148.194,IP
54.36.148.195,IP
54.36.148.196,IP
54.36.148.197,IP
54.36.148.198,IP
54.36.148.202,IP
54.36.148.204,IP
54.36.148.205,IP
54.36.148.206,IP
54.36.148.207,IP
54.36.148.210,IP
54.36.148.211,IP
54.36.148.212,IP
54.36.148.215,IP
54.36.148.216,IP
54.36.148.217,IP
54.36.148.218,IP
54.36.148.219,IP
54.36.148.220,IP
54.36.148.221,IP
54.36.148.224,IP
54.36.148.226,IP
54.36.148.227,IP
54.36.148.229,IP
54.36.148.231,IP
54.36.148.237,IP
54.36.148.238,IP
54.36.148.239,IP
54.36.148.240,IP
54.36.148.242,IP
54.36.148.243,IP
54.36.148.244,IP
54.36.148.245,IP
54.36.149.40,IP
54.36.149.41,IP
54.36.149.43,IP
54.36.149.44,IP
54.36.149.45,IP
54.36.149.47,IP
54.36.149.48,IP
54.36.149.49,IP
54.36.149.50,IP
54.36.149.51,IP
54.36.149.52,IP
54.36.149.53,IP
54.36.149.55,IP
54.36.149.57,IP
54.36.149.58,IP
54.36.149.61,IP
54.36.149.62,IP
54.36.149.65,IP
54.36.149.66,IP
54.36.149.67,IP
54.36.149.68,IP
54.36.149.69,IP
54.36.149.71,IP
54.36.149.72,IP
54.36.149.73,IP
54.36.149.74,IP
54.36.149.75,IP
54.36.149.76,IP
54.36.149.77,IP
54.36.149.78,IP
54.36.149.79,IP
54.36.149.80,IP
54.36.149.81,IP
54.36.149.82,IP
54.36.149.83,IP
54.36.149.84,IP
103.111.83.86,IP
103.146.232.5,IP
103.75.32.173,IP
103.87.48.54,IP
114.7.243.26,IP
117.54.140.98,IP
123.231.149.122,IP
