Values,Type
samples_yara_tlp_amber/samples/wsol.sh,FileName
pa.pay,FileName
samples_yara_tlp_amber/samples/sc.sh,FileName
samples_yara_tlp_amber/samples/wobf.sh,FileName
samples_yara_tlp_amber/samples/108_100.exe,FileName
zrada.exe,FileName
194.67.71.196,IP
45.56.228.21,IP
45.56.230.44,IP
185.253.219.34,IP
193.38.55.46,IP
209.250.240.175,IP
31.184.249.181,IP
62.76.190.180,IP
77.222.63.195,IP
77.246.145.119,IP
95.213.169.30,IP
194.67.71.75,IP
194.67.71.95,IP
194.67.71.164,IP
194.67.71.185,IP
91.238.104.241,IP
95.213.169.30,IP
194.67.71.105,IP
23.80.236.182,IP
146.112.61.107,IP
92.242.140.6,IP
45.56.228.21,IP
45.56.230.44,IP
185.253.219.34,IP
209.250.240.175,IP
37.230.112.249,IP
77.222.63.195,IP
95.213.169.30,IP
185.244.172.171,IP
194.67.71.8,IP
194.67.71.38,IP
194.67.71.50,IP
194.67.71.51,IP
194.67.71.81,IP
194.67.71.109,IP
194.67.71.130,IP
194.67.71.155,IP
194.67.71.179,IP
97ad7f3ed815c0528b070941be903d07,FileHash
b63b9929b8f214c4e8dcff7956c87277,FileHash
1938380a81a23b8b1100de8403b583a7,FileHash
fbe32784c073e341fc57d175a913905c,FileHash
a193184e61e34e2bc36289deaafdec37,FileHash
73561d9a331c1d8a334ec48dfd94db99,FileHash
3229e8c4150b5e43f836643ec9428865,FileHash
36e2a9df7edb876c9bb2bd588910305d,FileHash
9ec8468dd4a81b0b35c499b31e67375e,FileHash
8fc7646fa14667d07e3110fe754f61a78cfde6bc,FileHash
13aa2b7c1dad663462efc0a88d64770d2bc5dc4d,FileHash
9ce1491ce69809f92ae1fe8d4c0783bd1d11fbe7,FileHash
d27d0b9bb57b2bab881e0efb97c740b7e81405df,FileHash
94488f214b165512d2fc0438a581f5c9e3bd4d4c,FileHash
3cdbc19bc4f12d8d00b81380f7a2504d08074c15,FileHash
fd9c17c35a68fc505235e20c6e50c622aed8dea0,FileHash
0090cb4de31d2d3bca55fd4a36859921b5fc5dae,FileHash
6fa04992c0624c7aa3ca80da6a30e6de91226a16,FileHash
87ca2b130a8ec91d0c9c0366b419a0fce3cb6a935523d900918e634564b88028,FileHash
fc0e6f2effbfa287217b8930ab55b7a77bb86dbd923c0e8150551627138c9caa,FileHash
1724a0a3c9c73f4d8891f988b5035effce8d897ed42336a92e2c9bc7d9ee7f5a,FileHash
43d07f28b7b699f43abd4f695596c15a90d772bfbd6029c8ee7bc5859c2b0861,FileHash
7907dd95c1d36cf3dc842a1bd804f0db511a0f68f4b3d382c23a3c974a383cad,FileHash
bcdf0bd8142a4828c61e775686c9892d89893ed0f5093bdc70bde3e48d04ab99,FileHash
7062403bccacc7c0b84d27987b204777f6078319c3f4caa361581825c1a94e87,FileHash
178ed19e2e067462ba614389039f80e5f835c12c2c5c1be8ed7c968c896ddf09,FileHash
cda9310715b7a12f47b7c134260d5ff9200c147fc1d05f030e507e57e3582327,FileHash
