Value,Type
ipscan.ps1,FileName
Run1.ps1,FileName
[###].ps1,FileName
[#].ps1,FileName
mim.ps1,FileName
psexec.ps1,FileName
System.ps1,FileName
CME.ps1,FileName
Run1.ps1,FileName
[##].ps1,FileName
Systems.ps1,FileName
CheckVuln.bat,FileName
Create-share-RunAsAdmin.bat,FileName
LPE-Exploit-RunAsUser.bat,FileName
RCE-Exploit-RunAsUser.bat,FileName
est.bat,FileName
runav.bat,FileName
http_x64.exe,FileName
spider.dll,FileName
spider_32.dll,FileName
powershell.dll,FileName
rpcdump.exe,FileName
mimikatz.exe,FileName
zakrep_plink.exe,FileName
beacon.exe,FileName
win1999.exe,FileName
crackmapexec.exe,FileName
plink.exe,FileName
PsExec64.exe,FileName
xxx.exe,FileName
xxxw.exe,FileName
amd - Copy.ps1,FileName
89.44.9.243,IP
37.120.238.58,IP
45.153.160.140,IP
94.232.41.155,IP
142.234.157.246,IP
152.89.247.207,IP
23.106.223.97,IP
45.134.20.66,IP
198.144.121.93,IP
139.60.161.161,IP
185.220.102.253,IP
89.163.252.230,IP
146.0.77.15,IP
861738dd15eb7fb50568f0e39a69e107,FileHash
9f60dd752e7692a2f5c758de4eab3e6f,FileHash
09bc47d7bc5e40d40d9729cec5e39d73,FileHash
f5ef5142f044b94ac5010fd883c09aa7,FileHash
84e3b5fe3863d25bb72e25b10760e861,FileHash
9f2309285e8a8471fce7330fcade8619,FileHash
6c6c46bdac6713c94debbd454d34efd9,FileHash
e7ee8ea6fb7530d1d904cdb2d9745899,FileHash
815bb1b0c5f0f35f064c55a1b640fca5,FileHash
6c2874169fdfb30846fe7ffe34635bdb,FileHash
20855475d20d252dda21287264a6d860,FileHash
82db4c04f5dcda3bfcd75357adf98228,FileHash
fcf3a6eeb9f836315954dae03459716d,FileHash
91625f7f5d590534949ebe08cc728380,FileHash
d241df7b9d2ec0b8194751cd5ce153e27cc40fa4,FileHash
4831c1b113df21360ef68c450b5fca278d08fae2,FileHash
fce13da5592e9e120777d82d27e06ed2b44918cf,FileHash
3f85f03d33b9fe25bcfac611182da4ab7f06a442,FileHash
37178dfaccbc371a04133d26a55127cf4d4382f8,FileHash
1b2a30776df64fbd7299bd588e21573891dcecbe,FileHash
731adcf2d7fb61a8335e23dbee2436249e5d5753977ec465754c6b699e9bf161,FileHash
f837f1cd60e9941aa60f7be50a8f2aaaac380f560db8ee001408f35c1b7a97cb,FileHash
731adcf2d7fb61a8335e23dbee2436249e5d5753977ec465754c6b699e9bf161,FileHash
80dd44226f60ba5403745ba9d18490eb8ca12dbc9be0a317dd2b692ec041da28,FileHash
