Indicator,Type
jaratymanr.com,URL
162.33.179.45,IP
157.90.147.28,IP
172.86.75.63,IP
65.21.187.237,IP
143.198.117.43,IP
138.68.231.15,IP
1264b40feaa824d5ba31cef3c8a4ede230c61ef71c8a7994875deefe32bd8b3d,FileHash
40ff1ab8ac09057421079dae83fb675d7a2a3da6c7d0cd6400a0d720c5b0f58c,FileHash
4b1170f7774acfdc5517fbe1c911f2bd9f1af498f3c3d25078f05c95701cc999,FileHash
5b03b861884cb3e14a8b888c7dee2ee0d494933df863d504882345fa278d1ea5,FileHash
71cdbbc62e10983db183ca60ab964c1a3dab0d279c5326b2e920522480780956,FileHash
7275034886da11ca6d828547f15cab259e22ba624c5f5762afd237aa686455dd,FileHash
8ea6a6d4578029c7b2dbbfb525ec88b2cb309901ec5a987847471b6101f0de41,FileHash
971f0a32094b8ac10712503305ac6789048d190a209c436839e2e6b0acb016f3,FileHash
a0ccb9019b90716c8ee1bc0829e0e04cf7166be2f25987abbc8987e65cef2e6f,FileHash
a9fdbc6d20b780ca42660ad4803f391308fa0243fbc515fd3c1acf935dd43c1e,FileHash
c0c99b141b014c8e2a5c586586ae9dc01fd634ea977e2714fbef62d7626eb3fb,FileHash
cef17b9289ba18c979b704648c0f2b736f65f9f9158b471bc2486b6c14e14a4d,FileHash
edc2070fd8116f1df5c8d419189331ec606d10062818c5f3de865cd0f7d6db84,FileHash
lorenz_site@tutanota.com,Email
lorenz_mail@tutanota.com,Email
lorenz_contact_site@tutanota.com,Email
vology-key@tutanota.com,Email
lorenzcontactsite@protonmail.com,Email
Lorenz_contact_mail@tutanota.com,Email
http://lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion,URL
Audiodg.exe,FileName
Lexitzsao.dll,FileName
5s5onp92s.dll,FileName
kthrunicn.dll,FileName
weams.exe,FileName
lsamp.exe,FileName
doublenet.co.ke,FileName
https://www.doublenet.co.ke/office365login/Businessconnect/,URL
https://www.doublenet.co.ke/newfaxmessage/Businessconnect/,URL
https://www.doublenet.co.ke/loginoffice/Businessconnect/,URL
https://www.doublenet.co.ke/login/Businessconnect/,URL
https://www.doublenet.co.ke/loginmicrosoft/Businessconnect/,URL
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
